 Plywood Manufacturing","HFC-32","kg/2021 USD, purchaser price","5.21e-08","3.17e-08","8.38e-08","321200"
321219,"Reconstituted Wood Product Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.73e-08","2.25e-09","1.96e-08","321200"
321219,"Reconstituted Wood Product Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","4.62e-09","5.46e-10","5.16e-09","321200"
321219,"Reconstituted Wood Product Manufacturing","Methane","kg/2021 USD, purchaser price","4.19e-04","1.03e-04","5.22e-04","321200"
321219,"Reconstituted Wood Product Manufacturing","HFC-143a","kg/2021 USD, purchaser price","3.22e-08","1.96e-08","5.17e-08","321200"
321219,"Reconstituted Wood Product Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.88e-10","4.07e-11","4.29e-10","321200"
321219,"Reconstituted Wood Product Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","4.53e-10","4.75e-11","5.00e-10","321200"
321219,"Reconstituted Wood Product Manufacturing","HFC-125","kg/2021 USD, purchaser price","8.63e-08","5.25e-08","1.39e-07","321200"
321219,"Reconstituted Wood Product Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.39e-09","1.46e-10","1.54e-09","321200"
321219,"Reconstituted Wood Product Manufacturing","HFC-23","kg/2021 USD, purchaser price","8.89e-09","1.17e-09","1.01e-08","321200"
321219,"Reconstituted Wood Product Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","5.80e-10","3.53e-10","9.33e-10","321200"
321219,"Reconstituted Wood Product Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","8.84e-09","1.30e-09","1.01e-08","321200"
321219,"Reconstituted Wood Product Manufacturing","HFC-134a","kg/2021 USD, purchaser price","2.23e-07","1.34e-07","3.57e-07","321200"
321219,"Reconstituted Wood Product Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","2.58e-05","2.67e-06","2.85e-05","321200"
321911,"Wood Window and Door Manufacturing","Methane","kg/2021 USD, purchaser price","3.79e-04","1.43e-04","5.22e-04","321910"
321911,"Wood Window and Door Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.81e-07","8.41e-08","3.65e-07","321910"
321911,"Wood Window and Door Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","9.74e-09","9.28e-10","1.07e-08","321910"
321911,"Wood Window and Door Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.71e-09","2.50e-10","2.96e-09","321910"
321911,"Wood Window and Door Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.87e-09","5.61e-10","2.43e-09","321910"
321911,"Wood Window and Door Manufacturing","HFC-125","kg/2021 USD, purchaser price","2.79e-07","8.35e-08","3.62e-07","321910"
321911,"Wood Window and Door Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.88e-05","4.69e-06","2.35e-05","321910"
321911,"Wood Window and Door Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.68e-07","5.04e-08","2.19e-07","321910"
321911,"Wood Window and Door Manufacturing","HFC-134a","kg/2021 USD, purchaser price","7.17e-07","2.14e-07","9.31e-07","321910"
321911,"Wood Window and Door Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","7.53e-10","6.96e-11","8.23e-10","321910"
321911,"Wood Window and Door Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.25e-01","3.82e-02","1.63e-01","321910"
321911,"Wood Window and Door Manufacturing","HFC-143a","kg/2021 USD, purchaser price","1.04e-07","3.11e-08","1.35e-07","321910"
321911,"Wood Window and Door Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","8.78e-10","8.12e-11","9.60e-10","321910"
321911,"Wood Window and Door Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","3.87e-08","3.81e-09","4.25e-08","321910"
321911,"Wood Window and Door Manufacturing","HFC-23","kg/2021 USD, purchaser price","8.29e-09","1.71e-09","1.00e-08","321910"
321911,"Wood Window and Door Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.08e-08","2.67e-09","1.35e-08","321910"
321912,"Cut Stock, Resawing Lumber, and Planing","Carbon dioxide","kg/2021 USD, purchaser price","1.25e-01","3.82e-02","1.63e
