m Product Warehousing and Storage","HFC-134a","kg/2021 USD, purchaser price","6.41e-07","0.00e+00","6.41e-07","493000"
511120,"Periodical Publishers","Perfluoropropane","kg/2021 USD, purchaser price","2.08e-10","1.05e-10","3.13e-10","511120"
511120,"Periodical Publishers","Sulfur hexafluoride","kg/2021 USD, purchaser price","4.55e-09","2.76e-09","7.31e-09","511120"
511130,"Book Publishers","Carbon dioxide","kg/2021 USD, purchaser price","6.16e-02","4.69e-02","1.09e-01","511130"
511130,"Book Publishers","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.04e-08","4.72e-09","1.52e-08","511130"
511130,"Book Publishers","Hexafluoroethane","kg/2021 USD, purchaser price","2.35e-09","1.15e-09","3.50e-09","511130"
511130,"Book Publishers","HFC-125","kg/2021 USD, purchaser price","1.20e-07","1.04e-07","2.24e-07","511130"
511130,"Book Publishers","HFC-134a","kg/2021 USD, purchaser price","3.07e-07","2.66e-07","5.74e-07","511130"
511130,"Book Publishers","HFC-143a","kg/2021 USD, purchaser price","4.47e-08","3.87e-08","8.34e-08","511130"
511130,"Book Publishers","HFC-23","kg/2021 USD, purchaser price","3.65e-09","2.03e-09","5.67e-09","511130"
511130,"Book Publishers","HFC-236fa","kg/2021 USD, purchaser price","8.06e-10","6.98e-10","1.50e-09","511130"
511130,"Book Publishers","HFC-32","kg/2021 USD, purchaser price","7.24e-08","6.27e-08","1.35e-07","511130"
511130,"Book Publishers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.21e-07","1.05e-07","2.25e-07","511130"
511130,"Book Publishers","Methane","kg/2021 USD, purchaser price","2.20e-04","1.72e-04","3.93e-04","511130"
511130,"Book Publishers","Nitrogen trifluoride","kg/2021 USD, purchaser price","5.33e-10","3.08e-10","8.41e-10","511130"
511130,"Book Publishers","Nitrous oxide","kg/2021 USD, purchaser price","8.61e-06","5.96e-06","1.46e-05","511130"
511130,"Book Publishers","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.48e-10","8.58e-11","2.34e-10","511130"
511130,"Book Publishers","Perfluoropropane","kg/2021 USD, purchaser price","1.73e-10","1.00e-10","2.73e-10","511130"
511130,"Book Publishers","Sulfur hexafluoride","kg/2021 USD, purchaser price","4.08e-09","3.53e-09","7.61e-09","511130"
511140,"Directory and Mailing List Publishers","Carbon dioxide","kg/2021 USD, purchaser price","7.80e-02","6.07e-02","1.39e-01","5111A0"
511140,"Directory and Mailing List Publishers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.98e-07","1.33e-07","3.31e-07","5111A0"
511140,"Directory and Mailing List Publishers","Perfluoropropane","kg/2021 USD, purchaser price","2.78e-10","1.26e-10","4.04e-10","5111A0"
511140,"Directory and Mailing List Publishers","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.30e-08","5.95e-09","2.90e-08","5111A0"
511140,"Directory and Mailing List Publishers","Methane","kg/2021 USD, purchaser price","2.62e-04","2.25e-04","4.87e-04","5111A0"
511140,"Directory and Mailing List Publishers","Sulfur hexafluoride","kg/2021 USD, purchaser price","6.34e-09","4.34e-09","1.07e-08","5111A0"
511140,"Directory and Mailing List Publishers","Hexafluoroethane","kg/2021 USD, purchaser price","4.75e-09","1.45e-09","6.19e-09","5111A0"
511140,"Directory and Mailing List Publishers","Nitrogen trifluoride","kg/2021 USD, purchaser price","8.56e-10","3.88e-10","1.24e-09","5111A0"
511140,"Directory and Mailing List Publishers","HFC-236fa","kg/2021 USD, purchaser price","1.32e-09","8.89e-10","2.21e-09","5111A0"
511140,"Directory and Mailing List Publishers","HFC-125","kg/2021 USD, purchaser price","1.96e-07","1.32e-07","3.28e-07","5111A0"
511140,"Directory and Mailing List Publishers","Nitrous oxide","kg/2021 USD, purchaser price","1.14e-05","7.48e-06","1.88e-05","5111A0"
511140,"Directory and Mailing List Publishers","HFC-32","kg/2021 USD, purchaser price","1.18e-07","7.98e-08","1.98e-07","5111A0"
511140,"Directory and Mailing List Publishers","HFC-134a","kg/2021 USD, purchaser price","5.04e-07","3.39e-07","8.43e-07","5111A0"
511140,"Directory and Mailing List Publishers","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.38e-10","1.08e-10","3.4
