 Mills","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.04e-09","2.10e-10","1.25e-09","322130"
322219,"Other Paperboard Container Manufacturing","HFC-134a","kg/2021 USD, purchaser price","6.52e-07","1.64e-07","8.16e-07","322210"
322219,"Other Paperboard Container Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","3.13e-10","5.28e-11","3.66e-10","322210"
322219,"Other Paperboard Container Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","4.09e-01","3.19e-02","4.41e-01","322210"
322219,"Other Paperboard Container Manufacturing","HFC-143a","kg/2021 USD, purchaser price","9.43e-08","2.38e-08","1.18e-07","322210"
322219,"Other Paperboard Container Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","3.66e-10","6.16e-11","4.27e-10","322210"
322219,"Other Paperboard Container Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.21e-08","2.85e-09","4.50e-08","322210"
322219,"Other Paperboard Container Manufacturing","HFC-23","kg/2021 USD, purchaser price","2.28e-08","1.58e-09","2.44e-08","322210"
322219,"Other Paperboard Container Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.62e-08","1.37e-09","1.76e-08","322210"
322220,"Paper Bag and Coated and Treated Paper Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","4.16e-01","4.80e-02","4.64e-01","322220"
322220,"Paper Bag and Coated and Treated Paper Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.54e-07","4.32e-09","1.59e-07","322220"
322220,"Paper Bag and Coated and Treated Paper Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","2.69e-08","1.05e-09","2.80e-08","322220"
322220,"Paper Bag and Coated and Treated Paper Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.81e-07","9.85e-08","2.80e-07","322220"
322220,"Paper Bag and Coated and Treated Paper Manufacturing","HFC-134a","kg/2021 USD, purchaser price","4.71e-07","2.52e-07","7.23e-07","322220"
