Photography","HFC-143a","kg/2021 USD, purchaser price","5.77e-08","0.00e+00","5.77e-08","541920"
541990,"All Other Professional, Scientific, and Technical Services","Nitrous oxide","kg/2021 USD, purchaser price","7.25e-06","0.00e+00","7.25e-06","5419A0"
541990,"All Other Professional, Scientific, and Technical Services","HFC-32","kg/2021 USD, purchaser price","8.33e-08","0.00e+00","8.33e-08","5419A0"
541990,"All Other Professional, Scientific, and Technical Services","HFC-134a","kg/2021 USD, purchaser price","3.57e-07","0.00e+00","3.57e-07","5419A0"
541990,"All Other Professional, Scientific, and Technical Services","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.99e-10","0.00e+00","2.99e-10","5419A0"
541990,"All Other Professional, Scientific, and Technical Services","HFC-23","kg/2021 USD, purchaser price","4.89e-09","0.00e+00","4.89e-09","5419A0"
541990,"All Other Professional, Scientific, and Technical Services","HFC-143a","kg/2021 USD, purchaser price","5.14e-08","0.00e+00","5.14e-08","5419A0"
551111,"Offices of Bank Holding Companies","Carbon dioxide","kg/2021 USD, purchaser price","1.15e-01","0.00e+00","1.15e-01","550000"
551111,"Offices of Bank Holding Companies","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.99e-07","0.00e+00","1.99e-07","550000"
551111,"Offices of Bank Holding Companies","Perfluoropropane","kg/2021 USD, purchaser price","1.84e-10","0.00e+00","1.84e-10","550000"
551111,"Offices of Bank Holding Companies","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.07e-08","0.00e+00","1.07e-08","550000"
551111,"Offices of Bank Holding Companies","Methane","kg/2021 USD, purchaser price","3.73e-04","0.00e+00","3.73e-04","550000"
551111,"Offices of Bank Holding Companies","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.07e-08","0.00e+00","1.07e-08","550000"
551111,"Offices of Bank Holding Companies","Hexafluoroethane","kg/2021 USD, purchaser price","2.42e-09","0.00e+00","2.42e-09","550000"
551111,"Offices of Bank Holding Companies","Nitrogen trifluoride","kg/2021 USD, purchaser price","5.68e-10","0.00e+00","5.68e-10","550000"
551111,"Offices of Bank Holding Companies","HFC-236fa","kg/2021 USD, purchaser price","1.33e-09","0.00e+00","1.33e-09","550000"
551111,"Offices of Bank Holding Companies","HFC-125","kg/2021 USD, purchaser price","1.97e-07","0.00e+00","1.97e-07","550000"
551111,"Offices of Bank Holding Companies","Nitrous oxide","kg/2021 USD, purchaser price","1.04e-05","0.00e+00","1.04e-05","550000"
551111,"Offices of Bank Holding Companies","HFC-32","kg/2021 USD, purchaser price","1.19e-07","0.00e+00","1.19e-07","550000"
551111,"Offices of Bank Holding Companies","HFC-134a","kg/2021 USD, purchaser price","5.05e-07","0.00e+00","5.05e-07","550000"
551111,"Offices of Bank Holding Companies","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.58e-10","0.00e+00","1.58e-10","550000"
551111,"Offices of Bank Holding Companies","HFC-23","kg/2021 USD, purchaser price","3.91e-09","0.00e+00","3.91e-09","550000"
551111,"Offices of Bank Holding Companies","HFC-143a","kg/2021 USD, purchaser price","7.35e-08","0.00e+00","7.35e-08","550000"
551112,"Offices of Other Holding Companies","HFC-143a","kg/2021 USD, purchaser price","7.35e-08","0.00e+00","7.35e-08","550000"
551112,"Offices of Other Holding Companies","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.07e-08","0.00e+00","1.07e-08","550000"
551112,"Offices of Other Holding Companies","Carbon dioxide","kg/2021 USD, purchaser price","1.15e-01","0.00e+00","1.15e-01","550000"
551112,"Offices of Other Holding Companies","HFC-23","kg/2021 USD, purchaser price","3.91e-09","0.00e+00","3.91e-09","550000"
551112,"Offices of Other Holding Companies","Hexafluoroethane","kg/2021 USD, purchaser price","2.42e-09","0.00e+00","2.42e-09","550000"
551112,"Offices of Other Holding Companies
