ties for Road Transportation","HFC-143a","kg/2021 USD, purchaser price","1.38e-07","0.00e+00","1.38e-07","48A000"
488999,"All Other Support Activities for Transportation","HFC-236fa","kg/2021 USD, purchaser price","2.49e-09","0.00e+00","2.49e-09","48A000"
488999,"All Other Support Activities for Transportation","Perfluoropropane","kg/2021 USD, purchaser price","2.08e-10","0.00e+00","2.08e-10","48A000"
488999,"All Other Support Activities for Transportation","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.40e-10","0.00e+00","6.40e-10","48A000"
488999,"All Other Support Activities for Transportation","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.17e-09","0.00e+00","7.17e-09","48A000"
488999,"All Other Support Activities for Transportation","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.71e-08","0.00e+00","1.71e-08","48A000"
488999,"All Other Support Activities for Transportation","HFC-32","kg/2021 USD, purchaser price","2.23e-07","0.00e+00","2.23e-07","48A000"
488999,"All Other Support Activities for Transportation","HFC-143a","kg/2021 USD, purchaser price","1.38e-07","0.00e+00","1.38e-07","48A000"
488999,"All Other Support Activities for Transportation","Hexafluoroethane","kg/2021 USD, purchaser price","3.51e-09","0.00e+00","3.51e-09","48A000"
488999,"All Other Support Activities for Transportation","Nitrous oxide","kg/2021 USD, purchaser price","2.89e-05","0.00e+00","2.89e-05","48A000"
488999,"All Other Support Activities for Transportation","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.72e-07","0.00e+00","3.72e-07","48A000"
488999,"All Other Support Activities for Transportation","Carbon dioxide","kg/2021 USD, purchaser price","1.74e-01","0.00e+00","1.74e-01","48A000"
488999,"All Other Support Activities for Transportation","Methane","kg/2021 USD, purchaser price","8.75e-04","0.00e+00","8.75e-04","48A000"
488999,"All Other Support Activities for Transportation","HFC-134a","kg/2021 USD, purchaser price","9.48e-07","0.00e+00","9.48e-07","48A000"
491110,"Postal Service","Carbon dioxide","kg/2021 USD, purchaser price","1.67e-01","0.00e+00","1.67e-01","491000"
491110,"Postal Service","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.56e-08","0.00e+00","2.56e-08","491000"
491110,"Postal Service","Hexafluoroethane","kg/2021 USD, purchaser price","4.74e-09","0.00e+00","4.74e-09","491000"
491110,"Postal Service","HFC-125","kg/2021 USD, purchaser price","2.33e-07","0.00e+00","2.33e-07","491000"
491110,"Postal Service","HFC-134a","kg/2021 USD, purchaser price","6.02e-07","0.00e+00","6.02e-07","491000"
