llurgy Part Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.44e-07","3.56e-08","1.79e-07","33211A"
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","5.61e-10","1.66e-10","7.27e-10","332200"
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","6.55e-10","1.93e-10","8.48e-10","332200"
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.02e-08","5.23e-09","2.55e-08","332200"
332216,"Saw Blade and Handtool Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.53e-01","6.01e-02","2.13e-01","332200"
332216,"Saw Blade and Handtool Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.64e-07","8.48e-09","2.72e-07","332200"
332216,"Saw Blade and Handtool Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","4.39e-08","2.13e-09","4.60e-08","332200"
332216,"Saw Blade and Handtool Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","9.07e-08","1.58e-07","2.48e-07","332200"
332216,"Saw Blade and Handtool Manufacturing","HFC-125","kg/2021 USD, purchaser price","9.01e-08","1.56e-07","2.47e-07","332200"
332216,"Saw Blade and Handtool Manufacturing","Methane","kg/2021 USD, purchaser price","4.11e-04","2.29e-04","6.40e-04","332200"
332216,"Saw Blade and Handtool Manufacturing","HFC-134a","kg/2021 USD, purchaser price","2.54e-07","4.01e-07","6.55e-07","332200"
332216,"Saw Blade and Handtool Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.02e-09","5.95e-10","2.61e-09","332200"
332216,"Saw Blade and Handtool Manufacturing","HFC-143a","kg/2021 USD, purchaser price","3.36e-08","5.83e-08","9.19e-08","332200"
332216,"Saw Blade and Handtool Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","9.35e-06","9.26e-06","1.86e-05","332200"
332216,"Saw Blade and Handtool Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.23e-08","3.83e-09","1.62e-08","332200"
332216,"Saw Blade and Handtool Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","5.61e-10","1.66e-10","7.27e-10","332200"
332216,"Saw Blade and Handtool Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","6.05e-10","1.05e-09","1.66e-09","332200"
332216,"Saw Blade and Handtool Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","6.55e-10","1.93e-10","8.48e-10","332200"
332216,"Saw Blade and Handtool Manufacturing","HFC-32","kg/2021 USD, purchaser price","5.44e-08","9.45e-08","1.49e-07","332200"
332216,"Saw Blade and Handtool Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.02e-08","5.23e-09","2.55e-08","332200"
332311,"Prefabricated Metal Building and Component Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","2.95e-01","2.29e-02","3.18e-01","332310"
332311,"Prefabricated Metal Building and Component Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.76e-07","5.40e-08","2.30e-07","332310"
332311,"Prefabricated Metal Building and Component Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","5.49e-10","6.41e-11","6.13e-10","332310"
332311,"Prefabricated Metal Building and Component Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.72e-07","2.81e-09","1.75e-07","332310"
332311,"Prefabricated Metal Building and Component Manufacturing","Methane","kg/2021 USD, purchaser price","7.91e-04","9.30e-05","8.84e-04","332310"
332311,"Prefabricated Metal Building and Component Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.93e-08","1.34e-09","3.07e-08","332310"
332311,"Prefabricated Metal Building and Component Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","2.92e-08","7.03e-10","2.99e-08","332310"
332311,"Prefabricated Metal Building and Component Manufacturing","Nitrogen trifluoride
