ng","HFC-23","kg/2021 USD, purchaser price","1.23e-08","3.42e-09","1.58e-08","327100"
327213,"Glass Container Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.73e-08","3.04e-09","2.03e-08","327200"
327213,"Glass Container Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.45e-07","1.30e-07","2.75e-07","327200"
327213,"Glass Container Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","6.66e-10","1.03e-10","7.69e-10","327200"
327213,"Glass Container Manufacturing","HFC-134a","kg/2021 USD, purchaser price","3.73e-07","3.34e-07","7.06e-07","327200"
327213,"Glass Container Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","7.77e-10","1.20e-10","8.97e-10","327200"
327213,"Glass Container Manufacturing","HFC-143a","kg/2021 USD, purchaser price","5.39e-08","4.85e-08","1.02e-07","327200"
327213,"Glass Container Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.48e-08","2.98e-09","1.78e-08","327200"
327215,"Glass Product Manufacturing Made of Purchased Glass","Carbon dioxide","kg/2021 USD, purchaser price","3.80e-01","6.58e-02","4.46e-01","327200"
327215,"Glass Product Manufacturing Made of Purchased Glass","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.80e-08","5.64e-09","3.36e-08","327200"
327215,"Glass Product Manufacturing Made of Purchased Glass","Hexafluoroethane","kg/2021 USD, purchaser price","7.65e-09","1.37e-09","9.02e-09","327200"
327215,"Glass Product Manufacturing Made of Purchased Glass","Nitrous oxide","kg/2021 USD, purchaser price","1.86e-05","6.49e-06","2.51e-05","327200"
327215,"Glass Product Manufacturing Made of Purchased Glass","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.46e-07","1.31e-07","2.77e-07","327200"
327215,"Glass Product Manufacturing Made of Purchased Glass","HFC-23","kg/2021 USD, purchaser price","1.73e-08","3.04e-09","2.03e-08","327200"
327215,"Glass Product Manufacturing Made of Purchased Glass","HFC-125","kg/2021 USD, purchaser price","1.45e-07","1.30e-07","2.75e-07","327200"
327215,"Glass Product Manufacturing Made of Purchased Glass","Perfluorocyclobutane","kg/2021 USD, purchaser price","6.66e-10","1.03e-10","7.69e-10","327200"
327215,"Glass Product Manufacturing Made of Purchased Glass","Methane","kg/2021 USD, purchaser price","1.03e-03","2.61e-04","1.29e-03","327200"
327215,"Glass Product Manufacturing Made of Purchased Glass","HFC-236fa","kg/2021 USD, purchaser price","9.73e-10","8.75e-10","1.85e-09","327200"
327215,"Glass Product Manufacturing Made of Purchased Glass","HFC-134a","kg/2021 USD, purchaser price","3.73e-07","3.34e-07","7.06e-07","327200"
327215,"Glass Product Manufacturing Made of Purchased Glass","Perfluoropropane","kg/2021 USD, purchaser price","7.77e-10","1.20e-10","8.97e-10","327200"
327215,"Glass Product Manufacturing Made of Purchased Glass","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.39e-09","3.70e-10","2.76e-09","327200"
327215,"Glass Product Manufacturing Made of Purchased Glass","HFC-32","kg/2021 USD, purchaser price","8.74e-08","7.86e-08","1.66e-07","327200"
327215,"Glass Product Manufacturing Made of Purchased Glass","HFC-143a","kg/2021 USD, purchaser price","5.39e-08","4.85e-08","1.02e-07","327200"
327215,"Glass Product Manufacturing Made of Purchased Glass","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.48e-08","2.98e-09","1.78e-08","327200"
327310,"Cement Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","3.70e+00","7.93e-02","3.78e+00","327310"
327310,"Cement Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.42e-08","3.85e-09","1.80e-08","327310"
327310,"Cement Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","3.44e-09","8.75e-10","4.31e-09","327310"
327310,"Cement Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.19e-07","1.26e-07","2.45e-07","327310"
327310,"Cement Manufacturing","HFC-134a","kg/2021 USD, purchaser price","3.05e-07","3.23e-07","6.29e-07","327310"
327310,"Cement Manufacturing","HFC-143a","kg/2021 USD, purchaser price","4
