Stations","HFC-143a","kg/2021 USD, purchaser price","1.66e-06","0.00e+00","1.66e-06","515100"
517311,"Wired Telecommunications Carriers","Nitrous oxide","kg/2021 USD, purchaser price","8.24e-06","0.00e+00","8.24e-06","517110"
517311,"Wired Telecommunications Carriers","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.52e-09","0.00e+00","1.52e-09","517110"
517311,"Wired Telecommunications Carriers","Perfluoropropane","kg/2021 USD, purchaser price","1.77e-09","0.00e+00","1.77e-09","517110"
517311,"Wired Telecommunications Carriers","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.22e-08","0.00e+00","1.22e-08","517110"
517312,"Wireless Telecommunications Carriers (except Satellite)","Carbon dioxide","kg/2021 USD, purchaser price","1.45e-01","0.00e+00","1.45e-01","517210"
517312,"Wireless Telecommunications Carriers (except Satellite)","Carbon tetrafluoride","kg/2021 USD, purchaser price","7.91e-08","0.00e+00","7.91e-08","517210"
517312,"Wireless Telecommunications Carriers (except Satellite)","Hexafluoroethane","kg/2021 USD, purchaser price","2.30e-08","0.00e+00","2.30e-08","517210"
517312,"Wireless Telecommunications Carriers (except Satellite)","HFC-125","kg/2021 USD, purchaser price","5.17e-07","0.00e+00","5.17e-07","517210"
517312,"Wireless Telecommunications Carriers (except Satellite)","HFC-134a","kg/2021 USD, purchaser price","1.33e-06","0.00e+00","1.33e-06","517210"
517312,"Wireless Telecommunications Carriers (except Satellite)","HFC-143a","kg/2021 USD, purchaser price","1.93e-07","0.00e+00","1.93e-07","517210"
517312,"Wireless Telecommunications Carriers (except Satellite)","HFC-23","kg/2021 USD, purchaser price","1.51e-08","0.00e+00","1.51e-08","517210"
517312,"Wireless Telecommunications Carriers (except Satellite)","HFC-236fa","kg/2021 USD, purchaser price","3.47e-09","0.00e+00","3.47e-09","517210"
517312,"Wireless Telecommunications Carriers (except Satellite)","HFC-32","kg/2021 USD, purchaser price","3.12e-07","0.00e+00","3.12e-07","517210"
517312,"Wireless Telecommunications Carriers (except Satellite)","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","5.20e-07","0.00e+00","5.20e-07","517210"
517312,"Wireless Telecommunications Carriers (except Satellite)","Methane","kg/2021 USD, purchaser price","4.71e-04","0.00e+00","4.71e-04","517210"
517312,"Wireless Telecommunications Carriers (except Satellite)","Nitrogen trifluoride","kg/2021 USD, purchaser price","7.79e-09","0.00e+00","7.79e-09","517210"
517312,"Wireless Telecommunications Carriers (except Satellite)","Nitrous oxide","kg/2021 USD, purchaser price","1.78e-05","0.00e+00","1.78e-05","517210"
517312,"Wireless Telecommunications Carriers (except Satellite)","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.17e-09","0.00e+00","2.17e-09","517210"
517312,"Wireless Telecommunications Carriers (except Satellite)","Perfluoropropane","kg/2021 USD, purchaser price","2.53e-09","0.00e+00","2.53e-09","517210"
517312,"Wireless Telecommunications Carriers (except Satellite)","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.24e-08","0.00e+00","2.24e-08","517210"
517410,"Satellite Telecommunications","HFC-143a","kg/2021 USD, purchaser price","9.59e-08","0.00e+00","9.59e-08","517A00"
517410,"Satellite Telecommunications","Carbon tetrafluoride","kg/2021 USD, purchaser price","6.60e-08","0.00e+00","6.60e-08","517A00"
517410,"Satellite Telecommunications","Carbon dioxide","kg/2021 USD, purchaser price","1.07e-01","0.00e+00","1.07e-01","517A00"
517410,"Satellite Telecommunications","HFC-23","kg/2021 USD, purchaser price","1.13e-08","0.00e+00","1.13e-08","517A00"
517410,"Satellite Telecommunications","Hexafluoroethane","kg/2021 USD, purchaser price","2.13e-08","0.00e+00","2.13e-08","517A00"
517410,"Satellite Telecommunications","Nitrogen trifluoride","kg/2021 USD, purchaser price","7.99e-09","0.00e+00","7.99e-09","517A00"
517410,"Satellite Telecommunications","HFC-236fa","kg/2021 USD
