"
113110,"Timber Tract Operations","Carbon dioxide","kg/2021 USD, purchaser price","1.63e-01","5.84e-02","2.21e-01","113000"
113110,"Timber Tract Operations","HFC-143a","kg/2021 USD, purchaser price","3.81e-08","5.11e-08","8.92e-08","113000"
113110,"Timber Tract Operations","Perfluoropropane","kg/2021 USD, purchaser price","1.07e-10","1.68e-10","2.75e-10","113000"
113110,"Timber Tract Operations","Carbon tetrafluoride","kg/2021 USD, purchaser price","7.00e-09","7.28e-09","1.43e-08","113000"
113110,"Timber Tract Operations","HFC-23","kg/2021 USD, purchaser price","4.35e-09","3.90e-09","8.25e-09","113000"
113110,"Timber Tract Operations","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.10e-09","3.19e-09","6.28e-09","113000"
113210,"Forest Nurseries and Gathering of Forest Products","HFC-143a","kg/2021 USD, purchaser price","3.81e-08","5.11e-08","8.92e-08","113000"
113210,"Forest Nurseries and Gathering of Forest Products","Carbon tetrafluoride","kg/2021 USD, purchaser price","7.00e-09","7.28e-09","1.43e-08","113000"
113210,"Forest Nurseries and Gathering of Forest Products","Carbon dioxide","kg/2021 USD, purchaser price","1.63e-01","5.84e-02","2.21e-01","113000"
113210,"Forest Nurseries and Gathering of Forest Products","HFC-23","kg/2021 USD, purchaser price","4.35e-09","3.90e-09","8.25e-09","113000"
113210,"Forest Nurseries and Gathering of Forest Products","Hexafluoroethane","kg/2021 USD, purchaser price","1.53e-09","1.83e-09","3.36e-09","113000"
113210,"Forest Nurseries and Gathering of Forest Products","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.29e-10","5.17e-10","8.46e-10","113000"
113210,"Forest Nurseries and Gathering of Forest Products","HFC-236fa","kg/2021 USD, purchaser price","6.87e-10","9.21e-10","1.61e-09","113000"
113210,"Forest Nurseries and Gathering of Forest Products","HFC-125","kg/2021 USD, purchaser price","1.02e-07","1.37e-07","2.39e-07","113000"
113210,"Forest Nurseries and Gathering of Forest Products","Nitrous oxide","kg/2021 USD, purchaser price","1.46e-04","7.19e-06","1.53e-04","113000"
113210,"Forest Nurseries and Gathering of Forest Products","HFC-32","kg/2021 USD, purchaser price","6.17e-08","8.27e-08","1.44e-07","113000"
113210,"Forest Nurseries and Gathering of Forest Products","HFC-134a","kg/2021 USD, purchaser price","2.63e-07","3.51e-07","6.14e-07","113000"
113210,"Forest Nurseries and Gathering of Forest Products","Perfluorocyclobutane","kg/2021 USD, purchaser price","9.16e-11","1.44e-10","2.35e-10","113000"
113210,"Forest Nurseries and Gathering of Forest Products","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.03e-07","1.38e-07","2.41e-07","113000"
113210,"Forest Nurseries and Gathering of Forest Products","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.10e-09","3.19e-09","6.28e-09","113000"
113210,"Forest Nurseries and Gathering of Forest Products","Perfluoropropane","kg/2021 USD, purchaser price","1.07e-10","1.68e-10","2.75e-10","113000"
113210,"Forest Nurseries and Gathering of Forest Products","Methane","kg/2021 USD, purchaser price","1.01e-03","2.41e-04","1.25e-03","113000"
113310,"Logging","Carbon dioxide","kg/2021 USD, purchaser price","1.63e-01","5.84e-02","2.21e-01","113000"
113310,"Logging","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.03e-07","1.38e-07","2.41e-07","113000"
113310,"Logging","Perfluoropropane","kg/2021 USD, purchaser price","1.07e-10","1.68e-10","2.75e-10","113000"
113310,"Logging","Carbon tetrafluoride","kg/2021 USD, purchaser price","7.00e-09","7.28e-09","1.43e-08","113000"
113310,"Logging","Methane","kg/2021 USD, purchaser price","1.01e-03","2.41e-04","1.25e-03","113000"
113310,"Logging","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.10e-09","3.19e-09","6.28e-09","113000"
113310,"Logging","Hexafluoroethane","kg/2021 USD, purchaser price","1.53e-09","1.83e-09","3.36e-09","113000"
113310,"Logging","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.29e-10","5.17e-10","8.46e-10","113000"
113310,"Logging","HFC-236fa","
