ces","Carbon dioxide","kg/2021 USD, purchaser price","7.13e-02","0.00e+00","7.13e-02","54151A"
541613,"Marketing Consulting Services","HFC-125","kg/2021 USD, purchaser price","3.62e-07","0.00e+00","3.62e-07","541610"
541613,"Marketing Consulting Services","HFC-32","kg/2021 USD, purchaser price","2.18e-07","0.00e+00","2.18e-07","541610"
541613,"Marketing Consulting Services","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.64e-07","0.00e+00","3.64e-07","541610"
541613,"Marketing Consulting Services","HFC-134a","kg/2021 USD, purchaser price","9.25e-07","0.00e+00","9.25e-07","541610"
541613,"Marketing Consulting Services","Carbon dioxide","kg/2021 USD, purchaser price","6.88e-02","0.00e+00","6.88e-02","541610"
541613,"Marketing Consulting Services","Carbon tetrafluoride","kg/2021 USD, purchaser price","9.90e-09","0.00e+00","9.90e-09","541610"
541613,"Marketing Consulting Services","Hexafluoroethane","kg/2021 USD, purchaser price","2.18e-09","0.00e+00","2.18e-09","541610"
541613,"Marketing Consulting Services","Methane","kg/2021 USD, purchaser price","3.38e-04","0.00e+00","3.38e-04","541610"
541613,"Marketing Consulting Services","HFC-143a","kg/2021 USD, purchaser price","1.35e-07","0.00e+00","1.35e-07","541610"
541613,"Marketing Consulting Services","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.37e-10","0.00e+00","1.37e-10","541610"
541613,"Marketing Consulting Services","Perfluoropropane","kg/2021 USD, purchaser price","1.60e-10","0.00e+00","1.60e-10","541610"
541613,"Marketing Consulting Services","Sulfur hexafluoride","kg/2021 USD, purchaser price","4.66e-09","0.00e+00","4.66e-09","541610"
541613,"Marketing Consulting Services","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.93e-10","0.00e+00","4.93e-10","541610"
541613,"Marketing Consulting Services","HFC-23","kg/2021 USD, purchaser price","3.93e-09","0.00e+00","3.93e-09","541610"
541613,"Marketing Consulting Services","HFC-236fa","kg/2021 USD, purchaser price","2.43e-09","0.00e+00","2.43e-09","541610"
541613,"Marketing Consulting Services","Nitrous oxide","kg/2021 USD, purchaser price","9.75e-06","0.00e+00","9.75e-06","541610"
541614,"Process, Physical Distribution, and Logistics Consulting Services","HFC-32","kg/2021 USD, purchaser price","2.18e-07","0.00e+00","2.18e-07","541610"
541614,"Process, Physical Distribution, and Logistics Consulting Services","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.64e-07","0.00e+00","3.64e-07","541610"
541614,"Process, Physical Distribution, and Logistics Consulting Services","Carbon dioxide","kg/2021 USD, purchaser price","6.88e-02","0.00e+00","6.88e-02","541610"
541614,"Process, Physical Distribution, and Logistics Consulting Services","Carbon tetrafluoride","kg/2021 USD, purchaser price","9.90e-09","0.00e+00","9.90e-09","541610"
541614,"Process, Physical Distribution, and Logistics Consulting Services","Hexafluoroethane","kg/2021 USD, purchaser price","2.18e-09","0.00e+00","2.18e-09","541610"
541614,"Process, Physical Distribution, and Logistics Consulting Services","Methane","kg/2021 USD, purchaser price","3.38e-04","0.00e+00","3.38e-04","541610"
541614,"Process, Physical Distribution, and Logistics Consulting Services","HFC-143a","kg/2021 USD, purchaser price","1.35e-07","0.00e+00","1.35e-07","541610"
541614,"Process, Physical Distribution, and Logistics Consulting Services","Per
