ervices","HFC-125","kg/2021 USD, purchaser price","3.44e-07","0.00e+00","3.44e-07","624400"
711130,"Musical Groups and Artists","HFC-23","kg/2021 USD, purchaser price","3.06e-09","0.00e+00","3.06e-09","711100"
711130,"Musical Groups and Artists","HFC-125","kg/2021 USD, purchaser price","1.49e-07","0.00e+00","1.49e-07","711100"
711130,"Musical Groups and Artists","Perfluorocyclobutane","kg/2021 USD, purchaser price","6.97e-11","0.00e+00","6.97e-11","711100"
711130,"Musical Groups and Artists","Methane","kg/2021 USD, purchaser price","2.95e-04","0.00e+00","2.95e-04","711100"
711130,"Musical Groups and Artists","HFC-236fa","kg/2021 USD, purchaser price","1.00e-09","0.00e+00","1.00e-09","711100"
711130,"Musical Groups and Artists","HFC-134a","kg/2021 USD, purchaser price","3.81e-07","0.00e+00","3.81e-07","711100"
711130,"Musical Groups and Artists","Perfluoropropane","kg/2021 USD, purchaser price","8.13e-11","0.00e+00","8.13e-11","711100"
711130,"Musical Groups and Artists","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.51e-10","0.00e+00","2.51e-10","711100"
711130,"Musical Groups and Artists","HFC-32","kg/2021 USD, purchaser price","8.99e-08","0.00e+00","8.99e-08","711100"
711130,"Musical Groups and Artists","HFC-143a","kg/2021 USD, purchaser price","5.55e-08","0.00e+00","5.55e-08","711100"
711130,"Musical Groups and Artists","Sulfur hexafluoride","kg/2021 USD, purchaser price","4.94e-09","0.00e+00","4.94e-09","711100"
711190,"Other Performing Arts Companies","Carbon dioxide","kg/2021 USD, purchaser price","7.25e-02","0.00e+00","7.25e-02","711100"
711190,"Other Performing Arts Companies","Methane","kg/2021 USD, purchaser price","2.95e-04","0.00e+00","2.95e-04","711100"
711190,"Other Performing Arts Companies","Carbon tetrafluoride","kg/2021 USD, purchaser price","6.62e-09","0.00e+00","6.62e-09","711100"
711190,"Other Performing Arts Companies","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.51e-10","0.00e+00","2.51e-10","711100"
711190,"Other Performing Arts Companies","Hexafluoroethane","kg/2021 USD, purchaser price","1.36e-09","0.00e+00","1.36e-09","711100"
711190,"Other Performing Arts Companies","Nitrous oxide","kg/2021 USD, purchaser price","9.22e-06","0.00e+00","9.22e-06","711100"
711190,"Other Performing Arts Companies","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.50e-07","0.00e+00","1.50e-07","711100"
711190,"Other Performing Arts Companies","HFC-23","kg/2021 USD, purchaser price","3.06e-09","0.00e+00","3.06e-09","711100"
711190,"Other Performing Arts Companies","HFC-125","kg/2021 USD, purchaser price","1.49e-07","0.00e+00","1.49e-07","711100"
711190,"Other Performing Arts Companies","Perfluorocyclobutane","kg/2021 USD, purchaser price","6.97e-11","0.00e+00","6.97e-11","711100"
711190,"Other Performing Arts Companies","HFC-236fa","kg/2021 USD, purchaser price","1.00e-09","0.00e+00","1.00e-09","711100"
711190,"Other Performing Arts Companies","HFC-134a","kg/2021 USD, purchaser price","3.81e-07","0.00e+00","3.81e-07","711100"
711190,"Other Performing Arts Companies","Perfluoropropane","kg/2021 USD, purchaser price","8.13e-11","0.00e+00","8.13e-11","711100"
711190,"Other Performing Arts Companies","HFC-32","kg/2021 USD, purchaser price","8.99e-08","0.00e+00","8.99e-08","711100"
711190,"Other Performing Arts Companies","HFC-143a","kg/2021 USD, purchaser price","5.55e-08","0.00e+00","5.55e-08","711100"
711190,"Other Performing Arts Companies","Sulfur hexafluoride","kg/2021 USD, purchaser price","4.94e-09","0.00e+00","4.94e-09","711100"
711211,"Sports Teams and Clubs","Carbon dioxide","kg/2021 USD, purchaser price","5.68e-02","0.00e+00","5.68e-02","711200"
711211,"Sports Teams and Clubs","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.97e-07","0.00e+00","1.97e-07","711200"
711211,"Sports Teams and Clubs","Perfluoropropane","kg/2021 USD, purchaser price","7.28e-11","0.00e+00","7.28e-11","711200"
711211,"Sports Teams and Clubs","Carbon tetrafluoride","kg/2021 USD, purchaser price","5.79e-09","0.00e+00","5.79e
