r Manufacturing","HFC-23","kg/2021 USD, purchaser price","2.25e-08","2.19e-09","2.47e-08","33399B"
334111,"Electronic Computer Manufacturing","HFC-32","kg/2021 USD, purchaser price","2.57e-08","1.07e-07","1.33e-07","334111"
334111,"Electronic Computer Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.29e-08","1.78e-07","2.21e-07","334111"
334111,"Electronic Computer Manufacturing","Methane","kg/2021 USD, purchaser price","8.68e-05","2.43e-04","3.30e-04","334111"
334111,"Electronic Computer Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.12e-08","7.75e-10","3.19e-08","334111"
334111,"Electronic Computer Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","3.37e-06","1.05e-05","1.39e-05","334111"
334111,"Electronic Computer Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","8.67e-09","2.16e-10","8.89e-09","334111"
334111,"Electronic Computer Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.01e-08","2.52e-10","1.04e-08","334111"
334111,"Electronic Computer Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.65e-08","5.59e-09","4.21e-08","334111"
334112,"Computer Storage Device Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","6.37e-02","5.18e-02","1.15e-01","334112"
334112,"Computer Storage Device Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.69e-07","8.97e-09","1.78e-07","334112"
334112,"Computer Storage Device Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","6.06e-08","2.28e-09","6.29e-08","334112"
334112,"Computer Storage Device Manufacturing","HFC-125","kg/2021 USD, purchaser price","8.73e-08","1.50e-07","2.37e-07","334112"
334112,"Computer Storage Device Manufacturing","HFC-134a","kg/2021 USD, purchaser price","2.31e-07","3.84e-07","6.14e-07","334112"
334112,"Computer Storage Device Manufacturing","HFC-143a","kg/2021 USD, purchaser price","3.25e-08","5.58e-08","8.83e-08","334112"
334112,"Computer Storage Device Manufacturing","HFC-23","kg/2021 USD, purchaser price","2.48e-08","4.25e-09","2.90e-08","334112"
334112,"Computer Storage Device Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","5.87e-10","1.01e-09","1.59e-09","334112"
334112,"Computer Storage Device Manufacturing","HFC-32","kg/2021 USD, purchaser price","5.27e-08","9.04e-08","1.43e-07","334112"
334112,"Computer Storage Device Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","8.79e-08","1.51e-07","2.39e-07","334112"
334112,"Computer Storage Device Manufacturing","Methane","kg/2021 USD, purchaser price","1.72e-04","2.07e-04","3.79e-04","334112"
334112,"Computer Storage Device Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.48e-08","6.53e-10","2.54e-08","334112"
334112,"Computer Storage Device Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","5.99e-06","8.88e-06","1.49e-05","334112"
334112,"Computer Storage Device Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","6.89e-09","1.82e-10","7.07e-09","334112"
334112,"Computer Storage Device Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","8.04e-09","2.12e-10","8.25e-09","334112"
334112,"Computer Storage Device Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.31e-08","4.71e-09","3.78e-08","334112"
334118,"Computer Terminal and Other Computer Peripheral Equipment Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.13e-01","4.67e-02","1.60e-01","334118"
334118,"Computer Terminal and Other Computer Peripheral Equipment Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","8.55e-08","8.05e-09","9.36e-08","334118"
334118,"Computer Terminal and Other Computer Peripheral Equipment Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","2.25e-08","2.05e-09","2.45e-08","334118"
334118,"Computer Terminal and Other Computer Peripheral Equipment Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.02e
