(except Veterinary) Services","HFC-23","kg/2021 USD, purchaser price","4.41e-09","0.00e+00","4.41e-09","812900"
812930,"Parking Lots and Garages","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.39e-08","0.00e+00","1.39e-08","812900"
812930,"Parking Lots and Garages","Hexafluoroethane","kg/2021 USD, purchaser price","2.94e-09","0.00e+00","2.94e-09","812900"
812930,"Parking Lots and Garages","Methane","kg/2021 USD, purchaser price","3.87e-04","0.00e+00","3.87e-04","812900"
812930,"Parking Lots and Garages","HFC-143a","kg/2021 USD, purchaser price","6.81e-08","0.00e+00","6.81e-08","812900"
812930,"Parking Lots and Garages","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.60e-10","0.00e+00","1.60e-10","812900"
812930,"Parking Lots and Garages","Perfluoropropane","kg/2021 USD, purchaser price","1.87e-10","0.00e+00","1.87e-10","812900"
812930,"Parking Lots and Garages","Sulfur hexafluoride","kg/2021 USD, purchaser price","6.56e-09","0.00e+00","6.56e-09","812900"
812930,"Parking Lots and Garages","HFC-23","kg/2021 USD, purchaser price","4.41e-09","0.00e+00","4.41e-09","812900"
812930,"Parking Lots and Garages","HFC-236fa","kg/2021 USD, purchaser price","1.23e-09","0.00e+00","1.23e-09","812900"
812990,"All Other Personal Services","HFC-125","kg/2021 USD, purchaser price","1.83e-07","0.00e+00","1.83e-07","812900"
812990,"All Other Personal Services","HFC-32","kg/2021 USD, purchaser price","1.10e-07","0.00e+00","1.10e-07","812900"
812990,"All Other Personal Services","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.84e-07","0.00e+00","1.84e-07","812900"
812990,"All Other Personal Services","HFC-134a","kg/2021 USD, purchaser price","4.69e-07","0.00e+00","4.69e-07","812900"
812990,"All Other Personal Services","Carbon dioxide","kg/2021 USD, purchaser price","8.30e-02","0.00e+00","8.30e-02","812900"
812990,"All Other Personal Services","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.39e-08","0.00e+00","1.39e-08","812900"
812990,"All Other Personal Services","Hexafluoroethane","kg/2021 USD, purchaser price","2.94e-09","0.00e+00","2.94e-09","812900"
812990,"All Other Personal Services","Methane","kg/2021 USD, purchaser price","3.87e-04","0.00e+00","3.87e-04","812900"
812990,"All Other Personal Services","HFC-143a","kg/2021 USD, purchaser price","6.81e-08","0.00e+00","6.81e-08","812900"
812990,"All Other Personal Services","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.60e-10","0.00e+00","1.60e-10","812900"
812990,"All Other Personal Services","Perfluoropropane","kg/2021 USD, purchaser price","1.87e-10","0.00e+00","1.87e-10","812900"
812990,"All Other Personal Services","Sulfur hexafluoride","kg/2021 USD, purchaser price","6.56e-09","0.00e+00","6.56e-09","812900"
812990,"All Other Personal Services","Nitrogen trifluoride","kg/2021 USD, purchaser price","5.75e-10","0.00e+00","5.75e-10","812900"
812990,"All Other Personal Services","HFC-23","kg/2021 USD, purchaser price","4.41e-09","0.00e+00","4.41e-09","812900"
812990,"All Other Personal Services","HFC-236fa","kg/2021 USD, purchaser price","1.23e-09","0.00e+00","1.23e-09","812900"
812990,"All Other Personal Services","Nitrous oxide","kg/2021 USD, purchaser price","1.34e-05","0.00e+00","1.34e-05","812900"
813110,"Religious Organizations","Carbon dioxide","kg/2021 USD, purchaser price","1.65e-01","0.00e+00","1.65e-01","813100"
813110,"Religious Organizations","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.46e-08","0.00e+00","1.46e-08","813100"
813110,"Religious Organizations","Hexafluoroethane","kg/2021 USD, purchaser price","2.97e-09","0.00e+00","2.97e-09","813100"
813110,"Religious Organizations","HFC-125","kg/2021 USD, purchaser price","3.04e-07","0.00e+00","3.04e-07","813100"
813110,"Religious Organizations","HFC-134a","kg/2021 USD, purchaser price","7.78e-07","0.00e+00","7.78e-07","813100"
813110,"Religious Organizations","HFC-143a","kg/2021 USD, purchaser price","1.13e-07","0.00e+00","1.13e-07","813100"
813110,"Religious Organizations","HFC-23","kg/2021 USD, purchaser price","6.57e-09","0.00e+00","6.57e-09","813100"
813110,"Religious Organizations","HFC-236fa","kg/2021 USD, purchaser price","2.04e-09","0.00e+00","2.04e-09","8
