 and Harbor Operations","Nitrous oxide","kg/2021 USD, purchaser price","2.89e-05","0.00e+00","2.89e-05","48A000"
488390,"Other Support Activities for Water Transportation","Carbon dioxide","kg/2021 USD, purchaser price","1.74e-01","0.00e+00","1.74e-01","48A000"
488390,"Other Support Activities for Water Transportation","HFC-134a","kg/2021 USD, purchaser price","9.48e-07","0.00e+00","9.48e-07","48A000"
488390,"Other Support Activities for Water Transportation","Perfluoropropane","kg/2021 USD, purchaser price","2.08e-10","0.00e+00","2.08e-10","48A000"
488390,"Other Support Activities for Water Transportation","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.40e-10","0.00e+00","6.40e-10","48A000"
488390,"Other Support Activities for Water Transportation","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.17e-09","0.00e+00","7.17e-09","48A000"
488390,"Other Support Activities for Water Transportation","HFC-236fa","kg/2021 USD, purchaser price","2.49e-09","0.00e+00","2.49e-09","48A000"
488390,"Other Support Activities for Water Transportation","HFC-32","kg/2021 USD, purchaser price","2.23e-07","0.00e+00","2.23e-07","48A000"
488390,"Other Support Activities for Water Transportation","Methane","kg/2021 USD, purchaser price","8.75e-04","0.00e+00","8.75e-04","48A000"
488390,"Other Support Activities for Water Transportation","Hexafluoroethane","kg/2021 USD, purchaser price","3.51e-09","0.00e+00","3.51e-09","48A000"
488390,"Other Support Activities for Water Transportation","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.72e-07","0.00e+00","3.72e-07","48A000"
488390,"Other Support Activities for Water Transportation","Nitrous oxide","kg/2021 USD, purchaser price","2.89e-05","0.00e+00","2.89e-05","48A000"
488410,"Motor Vehicle Towing","HFC-125","kg/2021 USD, purchaser price","3.70e-07","0.00e+00","3.70e-07","48A000"
488410,"Motor Vehicle Towing","Carbon dioxide","kg/2021 USD, purchaser price","1.74e-01","0.00e+00","1.74e-01","48A000"
488410,"Motor Vehicle Towing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.71e-08","0.00e+00","1.71e-08","48A000"
488410,"Motor Vehicle Towing","HFC-23","kg/2021 USD, purchaser price","8.82e-09","0.00e+00","8.82e-09","48A000"
488410,"Motor Vehicle Towing","HFC-143a","kg/2021 USD, purchaser price","1.38e-07","0.00e+00","1.38e-07","48A000"
488410,"Motor Vehicle Towing","HFC-134a","kg/2021 USD, purchaser price","9.48e-07","0.00e+00","9.48e-07","48A000"
488410,"Motor Vehicle Towing","HFC-236fa","kg/2021 USD, purchaser price","2.49e-09","0.00e+00","2.49e-09","48A000"
