262,2332D0,233411,2332A0,233412,233210,233240"
311211,"Flour Milling","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.75e-07","1.23e-07","3.99e-07","311210"
311211,"Flour Milling","Perfluoropropane","kg/2021 USD, purchaser price","2.73e-10","1.23e-10","3.96e-10","311210"
311211,"Flour Milling","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.86e-08","5.66e-09","2.42e-08","311210"
311211,"Flour Milling","Methane","kg/2021 USD, purchaser price","4.23e-03","2.29e-04","4.46e-03","311210"
311211,"Flour Milling","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.58e-08","3.13e-09","1.89e-08","311210"
311211,"Flour Milling","Hexafluoroethane","kg/2021 USD, purchaser price","4.02e-09","1.39e-09","5.41e-09","311210"
311211,"Flour Milling","Nitrogen trifluoride","kg/2021 USD, purchaser price","8.41e-10","3.80e-10","1.22e-09","311210"
311211,"Flour Milling","HFC-236fa","kg/2021 USD, purchaser price","1.84e-09","8.24e-10","2.66e-09","311210"
311211,"Flour Milling","HFC-125","kg/2021 USD, purchaser price","2.73e-07","1.23e-07","3.96e-07","311210"
311211,"Flour Milling","Nitrous oxide","kg/2021 USD, purchaser price","2.31e-03","6.41e-06","2.31e-03","311210"
311211,"Flour Milling","HFC-32","kg/2021 USD, purchaser price","1.65e-07","7.40e-08","2.39e-07","311210"
311211,"Flour Milling","HFC-134a","kg/2021 USD, purchaser price","7.03e-07","3.14e-07","1.02e-06","311210"
311211,"Flour Milling","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.34e-10","1.06e-10","3.40e-10","311210"
311211,"Flour Milling","HFC-23","kg/2021 USD, purchaser price","1.63e-08","2.91e-09","1.92e-08","311210"
311211,"Flour Milling","HFC-143a","kg/2021 USD, purchaser price","1.02e-07","4.57e-08","1.48e-07","311210"
311212,"Rice Milling","HFC-143a","kg/2021 USD, purchaser price","1.02e-07","4.57e-08","1.48e-07","311210"
311212,"Rice Milling","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.86e-08","5.66e-09","2.42e-08","311210"
311212,"Rice Milling","Carbon dioxide","kg/2021 USD, purchaser price","5.85e-01","5.80e-02","6.43e-01","311210"
311212,"Rice Milling","HFC-23","kg/2021 USD, purchaser price","1.63e-08","2.91e-09","1.92e-08","311210"
311212,"Rice Milling","Hexafluoroethane","kg/2021 USD, purchaser price","4.02e-09","1.39e-09","5.41e-09","311210"
311212,"Rice Milling","Nitrogen trifluoride","kg/2021 USD, purchaser price","8.41e-10","3.80e-10","1.22e-09","311210"
311212,"Rice Milling","HFC-236fa","kg/2021 USD, purchaser price","1.84e-09","8.24e-10","2.66e-09","311210"
311212,"Rice Milling","HFC-125","kg/2021 USD, purchaser price","2.73e-07","1.23e-07","3.96e-07","311210"
311212,"Rice Milling","Nitrous oxide","kg/2021 USD, purchaser price","2.31e-03","6.41e-06","2.31e-03","311210"
311212,"Rice Milling","HFC-32","kg/2021 USD, purchaser price","1.65e-07","7.40e-08","2.39e-07","311210"
311212,"Rice Milling","HFC-134a","kg/2021 USD, purchaser price","7.03e-07","3.14e-07","1.02e-06","311210"
311212,"Rice Milling","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.34e-10","1.06e-10","3.40e-10","311210"
311212,"Rice Milling","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.75e-07","1.23e-07","3.99e-07","311210"
311212,"Rice Milling","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.58e-08","3.13e-09","1.89e-08","311210"
311212,"Rice Milling","Perfluoropropane","kg/2021 USD, purchaser price","2.73e-10","1.23e-10","3.96e-10","311210"
311212,"Rice Milling","Methane","kg/2021 USD, purchaser price","4.23e-03","2.29e-04","4.46e-03","311210"
311213,"Malt Manufacturing","Methane","kg/2021 USD, purchaser price","4.23e-03","2.29e-04","4.46e-03","311210"
311213,"Malt Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.75e-07","1.23e-07","3.99e-07","311210"
311213,"Malt Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","4.02e-09","1.39e-09","5.41e-09","311210"
311213,"Malt Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","8.41e-10","3.80e-10","1.22e-09","311210"
311213,"Malt Manufacturing","HFC-236fa","kg/202
