ipment Rental and Leasing","Perfluorocyclobutane","kg/2021 USD, purchaser price","4.16e-10","0.00e+00","4.16e-10","532400"
541120,"Offices of Notaries","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.83e-10","0.00e+00","2.83e-10","541100"
541120,"Offices of Notaries","HFC-32","kg/2021 USD, purchaser price","8.62e-08","0.00e+00","8.62e-08","541100"
541120,"Offices of Notaries","Hexafluoroethane","kg/2021 USD, purchaser price","1.14e-09","0.00e+00","1.14e-09","541100"
541120,"Offices of Notaries","Nitrous oxide","kg/2021 USD, purchaser price","5.26e-06","0.00e+00","5.26e-06","541100"
541120,"Offices of Notaries","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.44e-07","0.00e+00","1.44e-07","541100"
541120,"Offices of Notaries","HFC-23","kg/2021 USD, purchaser price","1.96e-09","0.00e+00","1.96e-09","541100"
541120,"Offices of Notaries","HFC-125","kg/2021 USD, purchaser price","1.43e-07","0.00e+00","1.43e-07","541100"
541120,"Offices of Notaries","Perfluorocyclobutane","kg/2021 USD, purchaser price","7.87e-11","0.00e+00","7.87e-11","541100"
541120,"Offices of Notaries","HFC-134a","kg/2021 USD, purchaser price","3.65e-07","0.00e+00","3.65e-07","541100"
541120,"Offices of Notaries","Perfluoropropane","kg/2021 USD, purchaser price","9.18e-11","0.00e+00","9.18e-11","541100"
541120,"Offices of Notaries","HFC-143a","kg/2021 USD, purchaser price","5.32e-08","0.00e+00","5.32e-08","541100"
541120,"Offices of Notaries","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.50e-09","0.00e+00","3.50e-09","541100"
541191,"Title Abstract and Settlement Offices","Carbon dioxide","kg/2021 USD, purchaser price","4.63e-02","0.00e+00","4.63e-02","541100"
541191,"Title Abstract and Settlement Offices","Methane","kg/2021 USD, purchaser price","1.78e-04","0.00e+00","1.78e-04","541100"
541191,"Title Abstract and Settlement Offices","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.92e-09","0.00e+00","4.92e-09","541100"
541191,"Title Abstract and Settlement Offices","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.83e-10","0.00e+00","2.83e-10","541100"
541191,"Title Abstract and Settlement Offices","Hexafluoroethane","kg/2021 USD, purchaser price","1.14e-09","0.00e+00","1.14e-09","541100"
541191,"Title Abstract and Settlement Offices","Nitrous oxide","kg/2021 USD, purchaser price","5.26e-06","0.00e+00","5.26e-06","541100"
541191,"Title Abstract and Settlement Offices","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.44e-07","0.00e+00","1.44e-07","541100"
541191,"Title Abstract and Settlement Offices","HFC-23","kg/2021 USD, purchaser price","1.96e-09","0.00e+00","1.96e-09","541100"
541191,"Title Abstract and Settlement Offices","HFC-125","kg/2021 USD, purchaser price","1.43e-07","0.00e+00","1.43e-07","541100"
