ship Training","Hexafluoroethane","kg/2021 USD, purchaser price","3.84e-09","0.00e+00","3.84e-09","611B00"
611620,"Sports and Recreation Instruction","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.59e-10","0.00e+00","2.59e-10","611B00"
611620,"Sports and Recreation Instruction","HFC-23","kg/2021 USD, purchaser price","5.94e-09","0.00e+00","5.94e-09","611B00"
611620,"Sports and Recreation Instruction","HFC-143a","kg/2021 USD, purchaser price","9.26e-08","0.00e+00","9.26e-08","611B00"
611620,"Sports and Recreation Instruction","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.50e-07","0.00e+00","2.50e-07","611B00"
611620,"Sports and Recreation Instruction","HFC-32","kg/2021 USD, purchaser price","1.50e-07","0.00e+00","1.50e-07","611B00"
611620,"Sports and Recreation Instruction","HFC-134a","kg/2021 USD, purchaser price","6.37e-07","0.00e+00","6.37e-07","611B00"
611620,"Sports and Recreation Instruction","Methane","kg/2021 USD, purchaser price","5.89e-04","0.00e+00","5.89e-04","611B00"
611620,"Sports and Recreation Instruction","Hexafluoroethane","kg/2021 USD, purchaser price","3.84e-09","0.00e+00","3.84e-09","611B00"
611620,"Sports and Recreation Instruction","HFC-236fa","kg/2021 USD, purchaser price","1.67e-09","0.00e+00","1.67e-09","611B00"
611620,"Sports and Recreation Instruction","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.66e-08","0.00e+00","1.66e-08","611B00"
611620,"Sports and Recreation Instruction","HFC-125","kg/2021 USD, purchaser price","2.49e-07","0.00e+00","2.49e-07","611B00"
611620,"Sports and Recreation Instruction","Carbon dioxide","kg/2021 USD, purchaser price","1.04e-01","0.00e+00","1.04e-01","611B00"
611630,"Language Schools","Nitrous oxide","kg/2021 USD, purchaser price","1.17e-05","0.00e+00","1.17e-05","611B00"
611630,"Language Schools","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.35e-09","0.00e+00","7.35e-09","611B00"
611630,"Language Schools","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.59e-10","0.00e+00","2.59e-10","611B00"
611630,"Language Schools","HFC-32","kg/2021 USD, purchaser price","1.50e-07","0.00e+00","1.50e-07","611B00"
611630,"Language Schools","Perfluoropropane","kg/2021 USD, purchaser price","3.02e-10","0.00e+00","3.02e-10","611B00"
611630,"Language Schools","HFC-143a","kg/2021 USD, purchaser price","9.26e-08","0.00e+00","9.26e-08","611B00"
611630,"Language Schools","Nitrogen trifluoride","kg/2021 USD, purchaser price","9.31e-10","0.00e+00","9.31e-10","611B00"
611630,"Language Schools","Methane","kg/2021 USD, purchaser price","5.89e-04","0.00e+00","5.89e-04","611B00"
611630,"Language Schools","HFC-23","kg/2021 USD, purchaser price","5.94e-09","0.00e+00","5.94e-09","611B00"
611630,"Language Schools","HFC-236fa","kg/2021 USD, purchaser price","1.67e-09","0.00e+00","1.67e-09","611B00"
611630,"Language Schools","HFC-134a","kg/2021 USD, purchaser price","6.37e-07","0.00e+00","6.37e-07","611B00"
611630,"Language Schools","HFC-125","kg/2021 USD, purchaser price","2.49e-07","0.00e+00","2.49e-07","611B00"
611630,"Language Schools","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.50e-07","0.00e+00","2.50e-07","611B00"
611630,"Language Schools","Carbon dioxide","kg/2021 USD, purchaser price","1.04e-01","0.00e+00","1.04e-01","611B00"
611630,"Language Schools","Hexafluoroethane","kg/2021 USD, purchaser price","3.84e-09","0.00e+00","3.84e-09","611B00"
611630,"Language Schools","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.66e-08","0.00e+00","1.66e-08","611B00"
611691,"Exam Preparation and Tutoring","Methane","kg/2021 USD, purchaser price","5.89e-04","0.00e+00","5.89e-04","611B00"
611691,"Exam Preparation and Tutoring","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.59e-10","0.00e+00","2.59e-10","611B00"
611691,"Exam Preparation and Tutoring","HFC-23","kg/2021 USD, purchaser price","5.94e-09","0.00e+00","5.94e-09","611B00"
611691,"Exam Preparation and Tutoring","Nitrogen trifluoride","kg/2021 USD, purchaser price","9.31e-10","0.00e+00","9.31e-10","611B00"
611691,"Exam Preparation and Tutoring","Sulfur hexafluoride","kg/2021 USD, purchaser price","7.35e-09","0.00e+00","7.35e-09","611B00"
