ake System Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.50e-09","9.96e-11","1.60e-09","3363A0"
336370,"Motor Vehicle Metal Stamping","HFC-134a","kg/2021 USD, purchaser price","1.01e-06","1.69e-07","1.18e-06","336370"
336370,"Motor Vehicle Metal Stamping","HFC-143a","kg/2021 USD, purchaser price","1.36e-07","2.45e-08","1.61e-07","336370"
336370,"Motor Vehicle Metal Stamping","HFC-23","kg/2021 USD, purchaser price","5.51e-08","2.10e-09","5.72e-08","336370"
336370,"Motor Vehicle Metal Stamping","HFC-236fa","kg/2021 USD, purchaser price","2.46e-09","4.42e-10","2.90e-09","336370"
336370,"Motor Vehicle Metal Stamping","HFC-32","kg/2021 USD, purchaser price","2.21e-07","3.97e-08","2.61e-07","336370"
336370,"Motor Vehicle Metal Stamping","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.68e-07","6.63e-08","4.35e-07","336370"
336370,"Motor Vehicle Metal Stamping","Methane","kg/2021 USD, purchaser price","1.63e-03","9.78e-05","1.73e-03","336370"
336370,"Motor Vehicle Metal Stamping","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.04e-09","3.01e-10","4.34e-09","336370"
336370,"Motor Vehicle Metal Stamping","Nitrous oxide","kg/2021 USD, purchaser price","2.62e-05","3.70e-06","2.99e-05","336370"
336370,"Motor Vehicle Metal Stamping","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.12e-09","8.39e-11","1.21e-09","336370"
336370,"Motor Vehicle Metal Stamping","Perfluoropropane","kg/2021 USD, purchaser price","1.31e-09","9.79e-11","1.41e-09","336370"
336370,"Motor Vehicle Metal Stamping","Sulfur hexafluoride","kg/2021 USD, purchaser price","6.21e-08","1.70e-09","6.38e-08","336370"
336390,"Other Motor Vehicle Parts Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","3.16e-01","3.64e-02","3.53e-01","336390"
336390,"Other Motor Vehicle Parts Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.60e-07","5.09e-09","2.65e-07","336390"
336390,"Other Motor Vehicle Parts Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","4.50e-08","1.27e-09","4.62e-08","336390"
336390,"Other Motor Vehicle Parts Manufacturing","HFC-125","kg/2021 USD, purchaser price","4.01e-07","9.43e-08","4.96e-07","336390"
336390,"Other Motor Vehicle Parts Manufacturing","HFC-134a","kg/2021 USD, purchaser price","1.09e-06","2.42e-07","1.34e-06","336390"
336390,"Other Motor Vehicle Parts Manufacturing","HFC-143a","kg/2021 USD, purchaser price","1.50e-07","3.51e-08","1.85e-07","336390"
336390,"Other Motor Vehicle Parts Manufacturing","HFC-23","kg/2021 USD, purchaser price","2.80e-08","2.30e-09","3.03e-08","336390"
336390,"Other Motor Vehicle Parts Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","2.70e-09","6.33e-10","3.33e-09","336390"
336390,"Other Motor Vehicle Parts Manufacturing","HFC-32","kg/2021 USD, purchaser price","2.42e-07","5.69e-08","2.99e-07","336390"
336390,"Other Motor Vehicle Parts Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.04e-07","9.49e-08","4.99e-07","336390"
336390,"Other Motor Vehicle Parts Manufacturing","Methane","kg/2021 USD, purchaser price","8.30e-04","1.39e-04","9.69e-04","336390"
336390,"Other Motor Vehicle Parts Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.31e-09","3.56e-10","3.67e-09","336390"
336390,"Other Motor Vehicle Parts Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","2.40e-05","5.57e-06","2.96e-05","336390"
336390,"Other Motor Vehicle Parts Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","9.22e-10","9.92e-11","1.02e-09","336390"
336390,"Other Motor Vehicle Parts Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.08e-09","1.16e-10","1.19e-09","336390"
336390,"Other Motor Vehicle Parts Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","5.19e-08","3.14e-09","5.50e-08","336390"
336411,"Aircraft Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.22e-01","1.12e-02","1.33e-01","336411"
336411,"Aircraft Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.46e-07"
