ertilizer Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.46e-08","1.12e-08","3.58e-08","325310"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.11e-09","2.02e-10","1.31e-09","325320"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.18e-08","3.89e-09","1.57e-08","325320"
325411,"Medicinal and Botanical Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.80e-01","4.07e-02","2.21e-01","325411"
325411,"Medicinal and Botanical Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","7.12e-09","8.26e-09","1.54e-08","325411"
325411,"Medicinal and Botanical Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","1.56e-09","2.13e-09","3.69e-09","325411"
325411,"Medicinal and Botanical Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.74e-07","1.27e-07","3.01e-07","325411"
325411,"Medicinal and Botanical Manufacturing","HFC-134a","kg/2021 USD, purchaser price","4.44e-07","3.26e-07","7.70e-07","325411"
325411,"Medicinal and Botanical Manufacturing","HFC-143a","kg/2021 USD, purchaser price","6.48e-08","4.73e-08","1.12e-07","325411"
325411,"Medicinal and Botanical Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.49e-08","4.22e-09","1.91e-08","325411"
325411,"Medicinal and Botanical Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.17e-09","8.53e-10","2.02e-09","325411"
325411,"Medicinal and Botanical Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.05e-07","7.67e-08","1.82e-07","325411"
325411,"Medicinal and Botanical Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.75e-07","1.28e-07","3.03e-07","325411"
325411,"Medicinal and Botanical Manufacturing","Methane","kg/2021 USD, purchaser price","4.79e-04","1.75e-04","6.54e-04","325411"
325411,"Medicinal and Botanical Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.45e-10","6.20e-10","9.66e-10","325411"
325411,"Medicinal and Botanical Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","5.80e-05","7.32e-06","6.53e-05","325411"
325411,"Medicinal and Botanical Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","9.61e-11","1.73e-10","2.69e-10","325411"
325411,"Medicinal and Botanical Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.12e-10","2.01e-10","3.13e-10","325411"
325411,"Medicinal and Botanical Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","5.40e-09","3.41e-09","8.81e-09","325411"
325412,"Pharmaceutical Preparation Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","4.63e-02","4.19e-02","8.82e-02","325412"
325412,"Pharmaceutical Preparation Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","3.54e-09","5.97e-09","9.51e-09","325412"
325412,"Pharmaceutical Preparation Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","7.50e-10","1.49e-09","2.24e-09","325412"
325412,"Pharmaceutical Preparation Manufacturing","HFC-125","kg/2021 USD, purchaser price","9.11e-08","1.10e-07","2.01e-07","325412"
325412,"Pharmaceutical Preparation Manufacturing","HFC-134a","kg/2021 USD, purchaser price","2.33e-07","2.83e-07","5.16e-07","325412"
325412,"Pharmaceutical Preparation Manufacturing","HFC-143a","kg/2021 USD, purchaser price","3.40e-08","4.11e-08","7.51e-08","325412"
325412,"Pharmaceutical Preparation Manufacturing","HFC-23","kg/2021 USD, purchaser price","3.89e-09","2.61e-09","6.50e-09","325412"
325412,"Pharmaceutical Preparation Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","6.12e-10","7.42e-10","1.35e-09","325412"
325412,"Pharmaceutical Preparation Manufacturing","HFC-32","kg/2021 USD, purchaser price","5.50e-08","6.66e-08","1.22e-07","325412"
325412,"Pharmaceutical Preparation Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","9.17e-08","1.11e-07","2.03e-07","325412"
325412,"Pharmaceutical Preparation Manufacturing","Methane","kg/2021 USD, purchaser price","2.13e-04","1.57e-04","3.70e-04","325412"
325412,"Pharmaceutical Preparation Manufacturing","Nitrogen trifluoride","kg/2021 USD, pur
