"
713930,"Marinas","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.28e-08","0.00e+00","2.28e-08","713900"
713930,"Marinas","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.51e-08","0.00e+00","1.51e-08","713900"
713930,"Marinas","Hexafluoroethane","kg/2021 USD, purchaser price","4.36e-09","0.00e+00","4.36e-09","713900"
713930,"Marinas","HFC-125","kg/2021 USD, purchaser price","4.34e-07","0.00e+00","4.34e-07","713900"
713930,"Marinas","HFC-134a","kg/2021 USD, purchaser price","1.11e-06","0.00e+00","1.11e-06","713900"
713930,"Marinas","HFC-143a","kg/2021 USD, purchaser price","1.62e-07","0.00e+00","1.62e-07","713900"
713930,"Marinas","HFC-23","kg/2021 USD, purchaser price","7.65e-09","0.00e+00","7.65e-09","713900"
713940,"Fitness and Recreational Sports Centers","Hexafluoroethane","kg/2021 USD, purchaser price","4.36e-09","0.00e+00","4.36e-09","713900"
713940,"Fitness and Recreational Sports Centers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.37e-07","0.00e+00","4.37e-07","713900"
713940,"Fitness and Recreational Sports Centers","Methane","kg/2021 USD, purchaser price","2.00e-03","0.00e+00","2.00e-03","713900"
713940,"Fitness and Recreational Sports Centers","HFC-125","kg/2021 USD, purchaser price","4.34e-07","0.00e+00","4.34e-07","713900"
713940,"Fitness and Recreational Sports Centers","HFC-134a","kg/2021 USD, purchaser price","1.11e-06","0.00e+00","1.11e-06","713900"
713940,"Fitness and Recreational Sports Centers","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.24e-10","0.00e+00","6.24e-10","713900"
713940,"Fitness and Recreational Sports Centers","HFC-143a","kg/2021 USD, purchaser price","1.62e-07","0.00e+00","1.62e-07","713900"
713940,"Fitness and Recreational Sports Centers","Nitrous oxide","kg/2021 USD, purchaser price","1.58e-04","0.00e+00","1.58e-04","713900"
713940,"Fitness and Recreational Sports Centers","HFC-23","kg/2021 USD, purchaser price","7.65e-09","0.00e+00","7.65e-09","713900"
713940,"Fitness and Recreational Sports Centers","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.74e-10","0.00e+00","1.74e-10","713900"
713940,"Fitness and Recreational Sports Centers","HFC-236fa","kg/2021 USD, purchaser price","2.92e-09","0.00e+00","2.92e-09","713900"
713940,"Fitness and Recreational Sports Centers","Carbon dioxide","kg/2021 USD, purchaser price","2.10e-01","0.00e+00","2.10e-01","713900"
713940,"Fitness and Recreational Sports Centers","HFC-32","kg/2021 USD, purchaser price","2.62e-07","0.00e+00","2.62e-07","713900"
713940,"Fitness and Recreational Sports Centers","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.28e-08","0.00e+00","2.28e-08","713900"
713940,"Fitness and Recreational Sports Centers","Perfluoropropane","kg/2021 USD, purchaser price","2.03e-10","0.00e+00","2.03e-10","713900"
713940,"Fitness and Recreational Sports Centers","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.51e-08","0.00e+00","1.51e-08","713900"
713950,"Bowling Centers","Carbon dioxide","kg/2021 USD, purchaser price","2.10e-01","0.00e+00","2.10e-01","713900"
713950,"Bowling Centers","Carbon tetrafluoride","kg/2021 USD, purchaser price","2.28e-08","0.00e+00","2.28e-08","713900"
713950,"Bowling Centers","Perfluoropropane","kg/2021 USD, purchaser price","2.03e-10","0.00e+00","2.03e-10","713900"
713950,"Bowling Centers","HFC-236fa","kg/2021 USD, purchaser price","2.92e-09","0.00e+00","2.92e-09","713900"
713950,"Bowling Centers","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.51e-08","0.00e+00","1.51e-08","713900"
713950,"Bowling Centers","HFC-32","kg/2021 USD, purchaser price","2.62e-07","0.00e+00","2.62e-07","713900"
713950,"Bowling Centers","Hexafluoroethane","kg/2021 USD, purchaser price","4.36e-09","0.00e+00","4.36e-09","713900"
713950,"Bowling Centers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.37e-07","0.00e+00","4.37e-07","713900"
713950,"Bowling Centers","HFC-125","kg/2021 USD, purchaser price","4.34e-07","0.00e+00","4.34e-07","713900"
713950,"Bowling Centers","Methane","kg/2021 USD, purchaser price","2.00e-03","0.00e+00","2.00e-03","713900"
713950,"Bowling Centers","HFC-134a",
