r Transmission Equipment Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.01e-05","4.20e-06","1.43e-05","333613"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","HFC-143a","kg/2021 USD, purchaser price","6.20e-08","2.52e-08","8.71e-08","33391A"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.05e-05","3.64e-06","1.42e-05","33391A"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","HFC-23","kg/2021 USD, purchaser price","1.71e-08","2.01e-09","1.91e-08","33391A"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","1.54e-09","7.68e-11","1.62e-09","33391A"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.12e-09","4.54e-10","1.57e-09","33391A"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","1.80e-09","8.96e-11","1.89e-09","33391A"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","HFC-32","kg/2021 USD, purchaser price","1.00e-07","4.08e-08","1.41e-07","33391A"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.34e-08","1.64e-09","3.51e-08","33391A"
333921,"Elevator and Moving Stairway Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","2.40e-01","2.67e-02","2.67e-01","333920"
333921,"Elevator and Moving Stairway Manufacturing","Methane","kg/2021 USD, purchaser price","6.45e-04","1.12e-04","7.57e-04","333920"
333921,"Elevator and Moving Stairway Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","1.17e-09","4.57e-10","1.63e-09","333920"
333921,"Elevator and Moving Stairway Manufacturing","HFC-134a","kg/2021 USD, purchaser price","4.85e-07","1.74e-07","6.59e-07","333920"
