 Coal and Lignite Surface Mining","Nitrogen trifluoride","kg/2021 USD, purchaser price","6.92e-10","2.70e-10","9.62e-10","212100"
212210,"Iron Ore Mining","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.59e-10","4.33e-11","3.03e-10","2122A0"
212210,"Iron Ore Mining","Perfluoropropane","kg/2021 USD, purchaser price","3.02e-10","5.05e-11","3.53e-10","2122A0"
212210,"Iron Ore Mining","HFC-125","kg/2021 USD, purchaser price","1.51e-07","1.55e-07","3.05e-07","2122A0"
212210,"Iron Ore Mining","Nitrogen trifluoride","kg/2021 USD, purchaser price","9.32e-10","1.55e-10","1.09e-09","2122A0"
212210,"Iron Ore Mining","HFC-23","kg/2021 USD, purchaser price","2.08e-07","2.57e-09","2.11e-07","2122A0"
212210,"Iron Ore Mining","HFC-236fa","kg/2021 USD, purchaser price","1.01e-09","1.04e-09","2.05e-09","2122A0"
212210,"Iron Ore Mining","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.42e-08","2.19e-09","2.64e-08","2122A0"
212210,"Iron Ore Mining","HFC-134a","kg/2021 USD, purchaser price","3.94e-07","3.96e-07","7.90e-07","2122A0"
212210,"Iron Ore Mining","Nitrous oxide","kg/2021 USD, purchaser price","8.12e-05","6.12e-06","8.73e-05","2122A0"
212221,"Gold Ore Mining","HFC-125","kg/2021 USD, purchaser price","1.51e-07","1.55e-07","3.05e-07","2122A0"
212221,"Gold Ore Mining","HFC-32","kg/2021 USD, purchaser price","9.10e-08","9.35e-08","1.84e-07","2122A0"
212221,"Gold Ore Mining","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.52e-07","1.56e-07","3.08e-07","2122A0"
212221,"Gold Ore Mining","HFC-134a","kg/2021 USD, purchaser price","3.94e-07","3.96e-07","7.90e-07","2122A0"
212221,"Gold Ore Mining","Carbon dioxide","kg/2021 USD, purchaser price","1.05e+00","1.07e-01","1.15e+00","2122A0"
212221,"Gold Ore Mining","Carbon tetrafluoride","kg/2021 USD, purchaser price","3.41e-08","3.62e-09","3.77e-08","2122A0"
212221,"Gold Ore Mining","Hexafluoroethane","kg/2021 USD, purchaser price","6.57e-09","7.59e-10","7.33e-09","2122A0"
212221,"Gold Ore Mining","Methane","kg/2021 USD, purchaser price","1.42e-03","4.20e-04","1.84e-03","2122A0"
212221,"Gold Ore Mining","HFC-143a","kg/2021 USD, purchaser price","5.62e-08","5.77e-08","1.14e-07","2122A0"
212221,"Gold Ore Mining","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.59e-10","4.33e-11","3.03e-10","2122A0"
212221,"Gold Ore Mining","Perfluoropropane","kg/2021 USD, purchaser price","3.02e-10","5.05e-11","3.53e-10","2122A0"
212221,"Gold Ore Mining","Sulfur hexafluoride","kg/2021 USD, purchaser price","2.42e-08","2.19e-09","2.64e-08","2122A0"
212221,"Gold Ore Mining","Nitrogen trifluoride","kg/2021 USD, purchaser price","9.32e-10","1.55e-10","1.09e-09","2122A0"
212221,"Gold Ore Mining","HFC-23","kg/2021 USD, purchaser price","2.08e-07","2.57e-09","2.11e-07","2122A0"
212221,"Gold Ore Mining","HFC-236fa","kg/2021 USD, purchaser price","1.01e-09","1.04e-09","2.05e-09","2122A0"
212221,"Gold Ore Mining","Nitrous oxide","kg/2021 USD, purchaser price","8.12e-05","6.12e-06","8.73e-05","2122A0"
212222,"Silver Ore Mining","Carbon dioxide","kg/2021 USD, purchaser price","1.05e+00","1.07e-01","1.15e+00","2122A0"
212222,"Silver Ore Mining","HFC-32","kg/2021 USD, purchaser price","9.10e-08","9.35e-08","1.84e-07","2122A0"
212222,"Silver Ore Mining","HFC-125","kg/2021 USD, purchaser price","1.51e-07","1.55e-07","3.05e-07","2122A0"
212222,"Silver Ore Mining","Nitrogen trifluoride","kg/2021 USD, purchaser price","9.32e-10","1.55e-10","1.09e-09","2122A0"
212222,"Silver Ore Mining","HFC-23","kg/2021 USD, purchaser price","2.08e-07","2.57e-09","2.11e-07","2122A0"
212222,"Silver Ore Mining","Carbon tetrafluoride","kg/2021 USD, purchaser price","3.41e-08","3.62e-09","3.77e-08","2122A0"
212222,"Silver Ore Mining","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.52e-07","1.56e-07","3.08e-07","2122A0"
212222,"Silver Ore Mining","HFC-134a","kg/2021 USD, purchaser price","3.94e-07","3.96e-07","7.90e-07","2122A0"
212222,"Silver Ore Mining","Nitrous oxide","kg/2021 USD, purchaser price","8.12e-05","6.12e-06","8.73e-05","2122A0"
212222,"Silver Ore Mining","HFC-236fa","kg/2021 USD, purchaser price","1.01e-09","1.04e-09","2.05e-09","2122A0"
212222,"Silver Ore Mining","Hexafluoroethane","kg/2021 USD, purchaser price","6.57e-09","7.59e-10","7.33e-0
