autical System and Instrument Manufacturing","Methane","kg/2021 USD, purchaser price","1.08e-04","7.37e-05","1.82e-04","334511"
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables","Perfluorocyclobutane","kg/2021 USD, purchaser price","9.25e-10","7.04e-11","9.95e-10","334513"
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables","Perfluoropropane","kg/2021 USD, purchaser price","1.08e-09","8.22e-11","1.16e-09","334513"
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.53e-08","1.41e-09","1.67e-08","334513"
334514,"Totalizing Fluid Meter and Counting Device Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","3.70e-02","2.57e-02","6.27e-02","334514"
334514,"Totalizing Fluid Meter and Counting Device Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","4.78e-08","3.33e-09","5.11e-08","334514"
334514,"Totalizing Fluid Meter and Counting Device Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","1.10e-08","8.40e-10","1.18e-08","334514"
334514,"Totalizing Fluid Meter and Counting Device Manufacturing","HFC-125","kg/2021 USD, purchaser price","3.49e-08","6.16e-08","9.64e-08","334514"
334514,"Totalizing Fluid Meter and Counting Device Manufacturing","HFC-134a","kg/2021 USD, purchaser price","9.84e-08","1.58e-07","2.56e-07","334514"
334514,"Totalizing Fluid Meter and Counting Device Manufacturing","HFC-143a","kg/2021 USD, purchaser price","1.30e-08","2.29e-08","3.59e-08","334514"
334514,"Totalizing Fluid Meter and Counting Device Manufacturing","HFC-23","kg/2021 USD, purchaser price","4.82e-09","1.78e-09","6.59e-09","334514"
334514,"Totalizing Fluid Meter and Counting Device Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","2.34e-10","4.14e-10","6.48e-10","334514"
334514,"Totalizing Fluid Meter and Counting Device Manufacturing","HFC-32","kg/2021 USD, purchaser price","2.10e-08","3.72e-08","5.82e-08","334514"
334514,"Totalizing Fluid Meter and Counting Device Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","3.51e-08","6.20e-08","9.71e-08","334514"
334514,"Totalizing Fluid Meter and Counting Device Manufacturing","Methane","kg/2021 USD, purchaser price","9.88e-05","1.06e-04","2.05e-04","334514"
334514,"Totalizing Fluid Meter and Counting Device Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","2.54e-09","2.38e-10","2.78e-09","334514"
334514,"Totalizing Fluid Meter and Counting Device Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","3.49e-06","3.26e-06","6.75e-06","334514"
334514,"Totalizing Fluid Meter and Counting Device Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","7.07e-10","6.62e-11","7.73e-10","334514"
334514,"Totalizing Fluid Meter and Counting Device Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","8.24e-10","7.73e-11","9.02e-10","334514"
334514,"Totalizing Fluid Meter and Counting Device Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","9.17e-09","1.45e-09","1.06e-08","33451
