turing","HFC-143a","kg/2021 USD, purchaser price","3.15e-08","5.66e-08","8.81e-08","334300"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","Methane","kg/2021 USD, purchaser price","3.12e-04","1.05e-04","4.17e-04","33441A"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.57e-07","3.52e-09","1.60e-07","33441A"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","Nitrogen trifluoride","kg/2021 USD, purchaser price","1.51e-08","2.53e-10","1.54e-08","33441A"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","4.53e-08","8.90e-10","4.62e-08","33441A"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.07e-05","3.41e-06","1.41e-05","33441A"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.15e-07","6.35e-08","1.79e-07","33441A"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","HFC-23","kg/2021 USD, purchaser price","3.62e-08","1.85e-09","3.80e-08","33441A"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.14e-07","6.31e-08","1.78e-07","33441A"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","4.21e-09","7.05e-11","4.28e-09","33441A"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","7.69e-10","4.24e-10","1.19e-09","33441A"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","HFC-134a","kg/2021 USD, purchaser price","3.66e-07","1.62e-07","5.28e-07","33441A"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","Perfluoropropane","kg/2021 USD, purchaser price","4.91e-09","8.22e-11","4.99e-09","33441A"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","HFC-32","kg/2021 USD, purchaser price","6.91e-08","3.81e-08","1.07e-07","33441A"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","HFC-143a","kg/2021 USD, purchaser price","4.27e-08","2.35e-08","6.62e-08","33441A"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","Sulfur hexafluoride","kg/2021 USD, purchaser price","6.20e-08","1.55e-09","6.36e-08","33441A"
334417,"Electronic Connector Manufacturing","Carbon dioxide","kg/2021 USD, purchaser price","1.21e-01","2.53e-02","1.46e-01","33441A"
334417,"Electronic Connector Manufacturing","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.57e-07","3.52e-09","1.60e-07","33441A"
334417,"Electronic Connector Manufacturing","Hexafluoroethane","kg/2021 USD, purchaser price","4.53e-08","8.90e-10","4.62e-08","33441A"
334417,"Electronic Connector Manufacturing","Nitrous oxide","kg/2021 USD, purchaser price","1.07e-05","3.41e-06","1.41e-05","33441A"
334417,"Electronic Connector Manufacturing","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.15e-07","6.35e-08","1.79e-07","33441A"
334417,"Electronic Connector Manufacturing","HFC-23","kg/2021 USD, purchaser price","3.62e-08","1.85e-09","3.80e-08","33441A"
334417,"Electronic Connector Manufacturing","HFC-125","kg/2021 USD, purchaser price","1.14e-07","6.31e-08","1.78e-07","33441A"
334417,"Electronic Connector Manufacturing","Perfluorocyclobutane","kg/2021 USD, purchaser price","4.21e-09","7.05e-11","4.28e-09","33441A"
334417,"Electronic Connector Manufacturing","Methane","kg/2021 USD, purchaser price","3.12e-04","1.05e-04","4.17e-04","33441A"
334417,"Electronic Connector Manufacturing","HFC-236fa","kg/2021 USD, purchaser price","7.69e-10","4.24e-10","1.19e-09","33441A"
334417,"Electronic Connector Manufacturing","HFC
