ution","HFC-23","kg/2021 USD, purchaser price","2.35e-09","5.52e-10","2.90e-09","512100"
512191,"Teleproduction and Other Postproduction Services","Carbon dioxide","kg/2021 USD, purchaser price","5.27e-02","8.03e-03","6.07e-02","512100"
512191,"Teleproduction and Other Postproduction Services","HFC-32","kg/2021 USD, purchaser price","1.30e-07","1.33e-08","1.43e-07","512100"
512191,"Teleproduction and Other Postproduction Services","Carbon tetrafluoride","kg/2021 USD, purchaser price","6.39e-09","1.24e-09","7.62e-09","512100"
512191,"Teleproduction and Other Postproduction Services","Perfluoropropane","kg/2021 USD, purchaser price","9.96e-11","2.85e-11","1.28e-10","512100"
512191,"Teleproduction and Other Postproduction Services","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.97e-09","7.54e-10","4.72e-09","512100"
512199,"Other Motion Picture and Video Industries","Carbon dioxide","kg/2021 USD, purchaser price","5.27e-02","8.03e-03","6.07e-02","512100"
512199,"Other Motion Picture and Video Industries","Carbon tetrafluoride","kg/2021 USD, purchaser price","6.39e-09","1.24e-09","7.62e-09","512100"
512199,"Other Motion Picture and Video Industries","Perfluoropropane","kg/2021 USD, purchaser price","9.96e-11","2.85e-11","1.28e-10","512100"
512199,"Other Motion Picture and Video Industries","HFC-236fa","kg/2021 USD, purchaser price","1.45e-09","1.48e-10","1.59e-09","512100"
512199,"Other Motion Picture and Video Industries","Sulfur hexafluoride","kg/2021 USD, purchaser price","3.97e-09","7.54e-10","4.72e-09","512100"
512199,"Other Motion Picture and Video Industries","HFC-32","kg/2021 USD, purchaser price","1.30e-07","1.33e-08","1.43e-07","512100"
512199,"Other Motion Picture and Video Industries","Hexafluoroethane","kg/2021 USD, purchaser price","1.39e-09","3.11e-10","1.70e-09","512100"
512199,"Other Motion Picture and Video Industries","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","2.17e-07","2.21e-08","2.39e-07","512100"
512199,"Other Motion Picture and Video Industries","HFC-125","kg/2021 USD, purchaser price","2.15e-07","2.20e-08","2.37e-07","512100"
512199,"Other Motion Picture and Video Industries","Methane","kg/2021 USD, purchaser price","1.77e-04","3.06e-05","2.08e-04","512100"
512199,"Other Motion Picture and Video Industries","HFC-134a","kg/2021 USD, purchaser price","5.50e-07","5.63e-08","6.07e-07","512100"
512199,"Other Motion Picture and Video Industries","Nitrogen trifluoride","kg/2021 USD, purchaser price","3.07e-10","8.77e-11","3.94e-10","512100"
512199,"Other Motion Picture and Video Industries","Nitrous oxide","kg/2021 USD, purchaser price","6.25e-06","1.32e-06","7.58e-06","512100"
512199,"Other Motion Picture and Video Industries","HFC-143a","kg/2021 USD, purchaser price","8.02e-08","8.19e-09","8.84e-08","512100"
512199,"Other Motion Picture and Video Industries","HFC-23","kg/2021 USD, purchaser price","2.35e-09","5.52e-10","2.90e-09","512100"
512199,"Other Motion Picture and Video Industries","Perfluorocyclobutane","kg/2021 USD, purchaser price","8.54e-11","2.44e-11","1.10e-10","512100"
512230,"Music Publishers","Carbon dioxide","kg/2021 USD, purchaser price","2.25e-02","3.63e-02","5.89e-02","512200"
512230,"Music Publishers","HFC-32","kg/2021 USD, purchaser price","2.90e-08","5.82e-08","8.72e-08","512200"
512230,"Music Publishers","HFC-125","kg/2021 USD, purchaser price","4.80e-08","9.64e-08","1.44e-07","512200"
512230,"Music Publishers","Nitrogen trifluoride","kg/2021 USD, purchaser price","4.62e-10","3.66e-10","8.28e-10","512200"
512230,"Music Publishers","HFC-23","kg/2021 USD, purchaser price","1.46e-09","2.27e-09","3.72e-09","512200"
512230,"Music Publishers","Carbon tetrafluoride","kg/2021 USD, purchaser price","8.65e-09","5.23e-09","1.39e-08","512200"
512230,"Music Publishers","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","4.83e-08","9.71e-08","1.45e-07","512200"
512230,"Music Publishers","HFC-134a","kg/2021 USD, purchaser price","1.23e-07","2.47e-07","3.70e-07","512200"
512230,"Music Publishers","Nitrous oxid
